date;category;value
2023-08-20;Канцтовары;0.45489508
2023-08-13;Канцтовары;-0.960334
2023-08-06;Канцтовары;-2.3491924
2023-07-30;Канцтовары;-3.5534556
2023-07-23;Канцтовары;-4.1336117
2023-07-16;Канцтовары;-4.5203824
2023-07-09;Канцтовары;-4.283046
2023-07-02;Канцтовары;-4.8544116
2023-06-25;Канцтовары;-4.107241
2023-06-18;Канцтовары;-4.836831
2023-06-11;Канцтовары;-3.8786945
2023-06-04;Канцтовары;-2.7183826
2023-05-28;Канцтовары;-2.8941875
2023-05-21;Канцтовары;-2.1997583
2023-05-14;Канцтовары;-5.188441
2023-05-07;Канцтовары;-3.7644215
2023-04-30;Канцтовары;-2.5777388
2023-04-23;Канцтовары;-2.4195144
2023-04-16;Канцтовары;-2.4458852
2023-04-09;Канцтовары;-1.7602462
2023-04-02;Канцтовары;-2.1470168
2023-03-26;Канцтовары;-2.516207
2023-03-19;Канцтовары;-1.4877486
2023-03-12;Канцтовары;-2.2700803
2023-03-05;Канцтовары;-0.6526755
2023-02-26;Канцтовары;-3.131524
2023-02-19;Канцтовары;-0.82848036
2023-02-12;Канцтовары;-1.3646852
2023-02-05;Канцтовары;-1.8393583
2023-01-29;Канцтовары;-2.4722557
2023-01-22;Канцтовары;-2.3755631
2023-01-15;Канцтовары;-2.3931437
2023-01-08;Канцтовары;-17.266235
2023-01-01;Канцтовары;-0.49445117
2022-12-25;Канцтовары;-0.054939017
2022-12-18;Канцтовары;-0.43291947
2022-12-11;Канцтовары;-0.8108999
2022-12-04;Канцтовары;-1.3295243
2022-11-27;Канцтовары;-1.8920997
2022-11-20;Канцтовары;-1.7690364
2022-11-13;Канцтовары;-2.305241
2022-11-06;Канцтовары;-4.5643334
2025-07-06;Лекарства и медицинские товары;25.610422
2025-06-29;Лекарства и медицинские товары;25.220491
2025-06-22;Лекарства и медицинские товары;25.130413
2025-06-15;Лекарства и медицинские товары;25.042803
2025-06-08;Лекарства и медицинские товары;25.683226
2025-06-01;Лекарства и медицинские товары;25.174835
2025-05-25;Лекарства и медицинские товары;25.477156
2025-05-18;Лекарства и медицинские товары;25.66595
2025-05-11;Лекарства и медицинские товары;23.880417
2025-05-04;Лекарства и медицинские товары;24.074148
2025-04-27;Лекарства и медицинские товары;25.446306
2025-04-20;Лекарства и медицинские товары;24.988508
2025-04-13;Лекарства и медицинские товары;25.065014
2025-04-06;Лекарства и медицинские товары;25.221725
2025-03-30;Лекарства и медицинские товары;26.67656
2025-03-23;Лекарства и медицинские товары;25.994183
2025-03-16;Лекарства и медицинские товары;25.487026
2025-03-09;Лекарства и медицинские товары;24.376467
2025-03-02;Лекарства и медицинские товары;25.350058
2025-02-23;Лекарства и медицинские товары;24.343151
2025-02-16;Лекарства и медицинские товары;24.95149
2025-02-09;Лекарства и медицинские товары;23.998877
2025-02-02;Лекарства и медицинские товары;24.365362
2025-01-26;Лекарства и медицинские товары;24.271582
2025-01-19;Лекарства и медицинские товары;24.228394
2025-01-12;Лекарства и медицинские товары;21.78763
2025-01-05;Лекарства и медицинские товары;16.51741
2024-12-29;Лекарства и медицинские товары;25.200748
2024-12-22;Лекарства и медицинские товары;24.02479
2024-12-15;Лекарства и медицинские товары;24.594877
2024-12-08;Лекарства и медицинские товары;23.961859
2024-12-01;Лекарства и медицинские товары;24.65164
2024-11-24;Лекарства и медицинские товары;24.322174
2024-11-17;Лекарства и медицинские товары;24.132145
